"18","Salvando vidas","Aguascalientes","Aguascalientes","El Rocío","Granizo No.207","Tradicional","Español","No",1,2
"19","Carl Gustav Jung","Aguascalientes","Aguascalientes","Emiliano Zapata","Mariano Jiménez 127","Tradicional","Español","No",1,2
"20","España","Aguascalientes","Aguascalientes","España","Andalucía No. 108","Tradicional","Español","No",1,2
"21","10 de Agosto","Aguascalientes","Aguascalientes","España","Madrid No. 311","Tradicional","Español","No",1,2
"22","Sobreviviendo","Aguascalientes","Aguascalientes","Fracc. Constitución","Art. 27 No. 600","Tradicional","Español","No",1,2
"23","Mensaje de vida","Aguascalientes","Aguascalientes","Fracc. Constitución","Art. 31  No. 411","Tradicional","Español","No",1,2
"24","Días sin huella","Aguascalientes","Aguascalientes","Fracc. del Valle 2 Sección","Miguel Angel No. 405 (Viena)","Tradicional","Español","No",1,2
"25","El Dorado","Aguascalientes","Aguascalientes","Fracc. El Dorado","República de Venezuela No.211","Tradicional","Español","No",1,2
"1","Dr. Bob","Aguascalientes","Aguascalientes","Fracc. El Sol","Medina Ugarte No.400-3","Tradicional","Español","No",1,3
"2","Ejecutivo","Aguascalientes","Aguascalientes","Fracc. Jardines de la Asunción","Av. José María Chávez Sur No. 1302 Planta Alta","Tradicional","Español","No",1,3
"3","Primer paso en la ribera","Aguascalientes","Aguascalientes","Fracc. La Ribera","Av.  Ribera de Chapala No.303-C","Tradicional","Español","No",1,3
"4","Dr. Silkworth","Aguascalientes","Aguascalientes","Fracc. Las Américas","Av. de las Américas No. 902 loc. 19","Tradicional","Español","No",1,3
"5","Unidos venceremos","Aguascalientes","Aguascalientes","Fracc. Los Pericos","Av. de las Torres Calle Santa Valeria No.142","Tradicional","Español","No",1,3
"6","Nueva familia","Aguascalientes","Aguascalientes","Fracc. Natura","Pino de la Soledad No. 117","Tradicional","Español","No",1,3
"7","Primavera","Aguascalientes","Aguascalientes","Fracc. Norte","Alamos No. 400","Tradicional","Español","No",1,3
"8","Ojocaliente III","Aguascalientes","Aguascalientes","Fracc. Ojocaliente III","El Mocho No. 306","Tradicional","Español","No",1,3
"9","Lenguaje del corazón","Aguascalientes","Aguascalientes","Fracc. Pirámides","Sinaloa No.455","Tradicional","Español","No",1,3
"10","Jóvenes en A.A.","Aguascalientes","Aguascalientes","Fracc. Rinconada de Santa Mónica","Avenida Siglo XXI No. 3805","Tradicional","Español","No",1,3
"11","Lenguaje del corazón AM","Aguascalientes","Aguascalientes","Fracci. Piramides","Sinaloa No.455 Int. B","Tradicional","Español","No",1,3
"12","Los mejores días","Aguascalientes","Aguascalientes","Fundición","Oro No. 101 esquina con Carlos Sagredo","Tradicional","Español","No",1,3
"13","Nueva amistad","Aguascalientes","Aguascalientes","Gómez Portugal","Arqueros No. 118","Tradicional","Español","No",1,3
"14","Transmítelo","Aguascalientes","Aguascalientes","Gremial","Av. Héroe de Nacozari Norte No. 1414","Tradicional","Español","No",1,3
"15","Aguascalientes","Aguascalientes","Aguascalientes","Gremial","Av. Convención y Blvd. a Zacatecas s/n","Tradicional","Español","No",1,3
"16","Hidrocálido","Aguascalientes","Aguascalientes","Gremial","Héroe de Nacozari Norte No. 622","Tradicional","Español","No",1,3
"17","Nueva luz en mi camino","Aguascalientes","Aguascalientes","Gremial","Alfredo Lewis No. 513 loc. 1","Tradicional","Español","No",1,3
